ds,y
2014-01,47112
2014-02,49154
2014-03,50537
2014-04,50453
2014-05,50689
2014-06,52595
2014-07,54066
2014-08,53431
2014-09,56902
2014-10,59463
2014-11,61084
2014-12,63105
2015-01,63740 
2015-02,64892
2015-03,66872
2015-04,67165
2015-05,67359
2015-06,67195
2015-07,68786
2015-08,68563
2015-09,69076
2015-10,69046
2015-11,68824
2015-12,68086
2016-01,69649
2016-02,71559
2016-03,72881
2016-04,74274
2016-05,74986
2016-06,76696
2016-07,77810
2016-08,78499
2016-09,78696
2016-10,79621
2016-11,81103
2016-12,81015
2017-01,82005
2017-02,83803
2017-03,84838
2017-04,85299
2017-05,85794
2017-06,86018
2017-07,86111
2017-08,83946
2017-09,83037
2017-10,80894
2017-11,80595
2017-12,81468
2018-01,80204
2018-02,79039
2018-03,80058
2018-04,79414
2018-05,78596
2018-06,78014
2018-07,76156
2018-08,74189
2018-09,72718
2018-10,72001
2018-11,70989
2018-12,70204
2019-01,72027
2019-02,71205
2019-03,70219
2019-04,70295
2019-05,68765
2019-06,69671
2019-07,68807
2019-08,68390
2019-09,67985
2019-10,67511
2019-11,66594
2019-12,66563
2020-01,67303
2020-02,66705
2020-03,77748
2020-04,86343
2020-05,86946
2020-06,84223
2020-07,80283
2020-08,77620
2020-09,75902
2020-10,74860
2020-11,72843
2020-12,72475
2021-01,81456
2021-02,80936
2021-03,79973
2021-04,76975
2021-05,76510
2021-07,77540
2021-08,75719
2021-09,74873
2021-10,74666
2021-11,75744
2021-12,75459
2022-01,77816
2022-02,78367
2022-03,80470
2022-04,79944
2022-05,79690
2022-06,80272
2022-07,79581
2022-08,79280
2022-09,79365
2022-10,79890
2022-11,80236
2022-12,81562
2023-01,83474
2023-02,83720
2023-03,85064
2023-04,84789
2023-05,84446
2023-06,84004
2023-07,83138
2023-08,83292
2023-09,83182
2023-10,82843
2023-11,84282
2023-12,85750
2024-01,86288
2024-02,86625
2024-03,86813
2024-04,86827
2024-05,87709
2024-06,88815
2024-07,88063
2024-08,87100
2024-09,87022
2024-10,87753
2024-11,88296
2024-12,91031
2025-01,94456
2025-02,95983
2025-03,97040
2025-04,100273
2025-05,100150
2025-06,99863
2025-07,100019
2025-08,98468
2025-09,100045
